ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单
qj1775089356510159134,2026/1/17 8:22,餐饮,饮品,支出,10,CNY,,,,,,,demonCupid,,,,
qj1775089337426129958,2026/1/16 8:22,餐饮,外卖,支出,21,CNY,,,,,,,demonCupid,,,,
qj1775089323572142598,2026/1/16 8:21,餐饮,聚餐,支出,39,CNY,,,,,,,demonCupid,,,,
qj1775089305550164897,2026/1/15 8:21,餐饮,外卖,支出,22,CNY,,,,,,,demonCupid,,,,
qj1775089291898194148,2026/1/14 8:21,其它,,支出,400,CNY,,,社保,,,,demonCupid,,,,
qj1775089271775161380,2026/1/13 8:21,餐饮,外卖,支出,21,CNY,,,,,,,demonCupid,,,,
qj1775089261121146213,2026/1/13 8:20,日常,学习,支出,264,CNY,,,美赛,,,,demonCupid,,,,
qj1775089241625160700,2026/1/11 8:20,餐饮,饮品,支出,16,CNY,,,,,,,demonCupid,,,,
qj1775089228672131574,2026/1/11 8:20,日常,,支出,100,CNY,,,理发,,,,demonCupid,,,,
qj1775089198479103681,2026/1/10 8:19,餐饮,校园卡,支出,200,CNY,,,,,,,demonCupid,,,,
qj1775089181784178595,2026/1/9 8:19,餐饮,外卖,支出,22,CNY,,,,,,,demonCupid,,,,
qj1775089170055125533,2026/1/8 8:19,购物,日用品,支出,30,CNY,,,,,,,demonCupid,,,,
qj1775089144283189036,2026/1/7 8:19,餐饮,饮品,支出,10,CNY,,,,,,,demonCupid,,,,
qj1775089136260158492,2026/1/7 8:18,餐饮,校园卡,支出,200,CNY,,,,,,,demonCupid,,,,
qj1775089123345187084,2026/1/6 8:18,餐饮,外卖,支出,17,CNY,,,,,,,demonCupid,,,,
qj1775089111559156395,2026/1/5 8:18,生活费,,收入,3000,CNY,,,,,,,demonCupid,,,,
qj1775089098746120074,2026/1/3 8:18,餐饮,外卖,支出,22,CNY,,,,,,,demonCupid,,,,
qj1775089070065172317,2026/1/1 8:17,日常,娱乐,支出,200,CNY,,,元旦,,,,demonCupid,,,,
