ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单,日期,月份,年份
qj1775088359638126534,2026-04-01 08:05:49,餐饮,校园卡,支出,500.0,CNY,,,,,,,demonCupid,,,,,2026-04-01,2026-04,2026
qj1775088369224151969,2026-04-01 08:06:09,日常,洗澡,支出,11.0,CNY,,,,,,,demonCupid,,,,,2026-04-01,2026-04,2026
qj1775088377237109537,2026-04-01 08:06:17,餐饮,外卖,支出,40.0,CNY,,,,,,,demonCupid,,,,,2026-04-01,2026-04,2026
qj1775088399825135877,2026-04-01 08:06:39,生活费,,收入,3000.0,CNY,,,,,,,demonCupid,,,,,2026-04-01,2026-04,2026
qj1775121208430119471,2026-04-02 17:13:23,餐饮,聚餐,支出,50.0,CNY,,,,,,,demonCupid,,,,,2026-04-02,2026-04,2026
qj1775188009694194468,2026-04-03 11:46:45,餐饮,聚餐,支出,28.0,CNY,,,,,,,demonCupid,,,,,2026-04-03,2026-04,2026
qj1775319004458100083,2026-04-04 00:09:58,日常,运动,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-04-04,2026-04,2026
qj1775278046115129585,2026-04-04 12:47:22,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-04-04,2026-04,2026
qj1775383654501175047,2026-04-05 18:07:31,餐饮,饮品,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-04-05,2026-04,2026
qj1775383661205199672,2026-04-05 18:07:41,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-04-05,2026-04,2026
qj1775383667819152143,2026-04-05 18:07:47,餐饮,聚餐,支出,25.0,CNY,,,,,,,demonCupid,,,,,2026-04-05,2026-04,2026
qj1775449728729142197,2026-04-06 12:28:06,餐饮,聚餐,支出,41.0,CNY,,,,,,,demonCupid,,,,,2026-04-06,2026-04,2026
qj1775460290180118130,2026-04-06 15:24:50,日常,洗澡,支出,11.0,CNY,,,,,,,demonCupid,,,,,2026-04-06,2026-04,2026
qj1775564160970110960,2026-04-07 20:15:56,餐饮,外卖,支出,30.0,CNY,,,,,,,demonCupid,,,,,2026-04-07,2026-04,2026
