ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单,日期,月份,年份
qj1775702204934169906,2026-04-09 10:36:41,餐饮,聚餐,支出,42.0,CNY,,,,,,,demonCupid,,,,,2026-04-09,2026-04,2026
qj1775727022233143250,2026-04-09 17:30:22,餐饮,外卖,支出,22.0,CNY,,,,,,,demonCupid,,,,,2026-04-09,2026-04,2026
qj1775796350539153519,2026-04-10 12:44:55,日常,运动,支出,60.0,CNY,,,球拍拉线,,,,demonCupid,,,,,2026-04-10,2026-04,2026
qj1775796355602151026,2026-04-10 12:45:55,餐饮,聚餐,支出,40.0,CNY,,,,,,,demonCupid,,,,,2026-04-10,2026-04,2026
qj1775800936740160867,2026-04-10 14:02:16,日常,洗澡,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-04-10,2026-04,2026
qj1775910322056176847,2026-04-11 20:25:15,餐饮,外卖,支出,22.0,CNY,,,,,,,demonCupid,,,,,2026-04-11,2026-04,2026
qj1775910340036125242,2026-04-11 20:25:40,餐饮,聚餐,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-04-11,2026-04,2026
qj1776074856138140503,2026-04-13 18:07:30,餐饮,外卖,支出,27.0,CNY,,,,,,,demonCupid,,,,,2026-04-13,2026-04,2026
qj1776335357018180375,2026-04-16 18:29:11,餐饮,饮品,支出,20.0,CNY,,,,,,,demonCupid,,,,,2026-04-16,2026-04,2026
qj1776335361371155073,2026-04-16 18:29:21,餐饮,聚餐,支出,80.0,CNY,,,,,,,demonCupid,,,,,2026-04-16,2026-04,2026
qj1776416542115178216,2026-04-17 17:02:19,餐饮,外卖,支出,20.0,CNY,,,,,,,demonCupid,,,,,2026-04-17,2026-04,2026
qj1776416546096116306,2026-04-17 17:02:26,购物,网购,支出,66.0,CNY,,,,,,,demonCupid,,,,,2026-04-17,2026-04,2026
qj1776434700988185230,2026-04-17 22:05:00,日常,洗澡,支出,12.0,CNY,,,,,,,demonCupid,,,,,2026-04-17,2026-04,2026
qj1776571566923131054,2026-04-18 12:05:59,餐饮,聚餐,支出,30.0,CNY,,,,,,,demonCupid,,,,,2026-04-18,2026-04,2026
qj1776571570589103217,2026-04-19 12:06:07,餐饮,外卖,支出,20.0,CNY,,,,,,,demonCupid,,,,,2026-04-19,2026-04,2026
qj1776670195999120021,2026-04-20 15:29:51,餐饮,饮品,支出,19.0,CNY,,,,,,,demonCupid,,,,,2026-04-20,2026-04,2026
qj1776842433378123978,2026-04-22 15:20:30,餐饮,饮品,支出,19.0,CNY,,,,,,,demonCupid,,,,,2026-04-22,2026-04,2026
qj1776915196328123991,2026-04-23 11:33:13,餐饮,外卖,支出,24.0,CNY,,,,,,,demonCupid,,,,,2026-04-23,2026-04,2026
qj1777003742583191781,2026-04-24 12:08:58,餐饮,外卖,支出,48.0,CNY,,,,,,,demonCupid,,,,,2026-04-24,2026-04,2026
qj1777025468083108679,2026-04-24 18:11:05,餐饮,外卖,支出,24.0,CNY,,,,,,,demonCupid,,,,,2026-04-24,2026-04,2026
qj1777090245981105416,2026-04-25 18:11:06,餐饮,外卖,支出,37.0,CNY,,,,,,,demonCupid,,,,,2026-04-25,2026-04,2026
qj1777193765701126290,2026-04-26 16:56:01,购物,网购,支出,30.0,CNY,,,,,,,demonCupid,,,,,2026-04-26,2026-04,2026
qj1777219673488188869,2026-04-27 00:07:49,购物,网购,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-04-27,2026-04,2026
qj1777256913832139756,2026-04-27 10:28:33,日常,学习,支出,34.0,CNY,,,教材,,,,demonCupid,,,,,2026-04-27,2026-04,2026
qj1777269718566151380,2026-04-27 14:01:58,购物,网购,支出,1350.0,CNY,,,显示屏,,,,demonCupid,,,,,2026-04-27,2026-04,2026
qj1777277989991108115,2026-04-27 16:19:49,餐饮,外卖,支出,27.0,CNY,,,,,,,demonCupid,,,,,2026-04-27,2026-04,2026
qj1777379473555124543,2026-04-28 20:31:07,日常,洗澡,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-04-28,2026-04,2026
qj1777521036794162848,2026-04-30 11:50:34,餐饮,外卖,支出,25.0,CNY,,,,,,,demonCupid,,,,,2026-04-30,2026-04,2026
