ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单,日期,月份,年份
qj1777896203711108831,2026-05-04 20:01:48,餐饮,未分类,支出,363.0,CNY,,,五一聚餐,,,,demonCupid,,,,,2026-05-04,2026-05,2026
qj1777896241615116538,2026-05-04 20:04:01,餐饮,饮品,支出,65.0,CNY,,,五一吃喝,,,,demonCupid,,,,,2026-05-04,2026-05,2026
qj1777896270026117982,2026-05-04 20:04:30,日常,娱乐,支出,161.0,CNY,,,五一娱乐,,,,demonCupid,,,,,2026-05-04,2026-05,2026
qj1777896287551172099,2026-05-04 20:04:47,日常,交通,支出,96.0,CNY,,,五一出行,,,,demonCupid,,,,,2026-05-04,2026-05,2026
qj1777955855964174624,2026-05-05 12:37:07,其它,未分类,支出,358.0,CNY,,,五一差额,,,,demonCupid,,,,,2026-05-05,2026-05,2026
qj1777955868784150139,2026-05-05 12:37:48,日常,洗澡,支出,12.0,CNY,,,,,,,demonCupid,,,,,2026-05-05,2026-05,2026
qj1777956487441104391,2026-05-05 12:48:07,日常,学习,支出,25.0,CNY,,,csp,,,,demonCupid,,,,,2026-05-05,2026-05,2026
qj1777956706331183415,2026-05-05 12:51:46,餐饮,外卖,支出,20.0,CNY,,,,,,,demonCupid,,,,,2026-05-05,2026-05,2026
qj1777974469157148043,2026-05-05 17:47:49,餐饮,校园卡,支出,100.0,CNY,,,,,,,demonCupid,,,,,2026-05-05,2026-05,2026
qj1777976312604190735,2026-05-05 18:18:32,生活费,,收入,3000.0,CNY,,,,,,,demonCupid,,,,,2026-05-05,2026-05,2026
qj1778147010522127298,2026-05-07 17:43:23,餐饮,聚餐,支出,46.0,CNY,,,,,,,demonCupid,,,,,2026-05-07,2026-05,2026
qj1778149892821184087,2026-05-07 18:31:32,餐饮,外卖,支出,22.0,CNY,,,,,,,demonCupid,,,,,2026-05-07,2026-05,2026
qj1778214990717142886,2026-05-08 12:36:28,餐饮,外卖,支出,19.0,CNY,,,,,,,demonCupid,,,,,2026-05-08,2026-05,2026
qj1778311141259137576,2026-05-09 15:18:57,日常,洗澡,支出,11.0,CNY,,,,,,,demonCupid,,,,,2026-05-09,2026-05,2026
qj1778311145782192569,2026-05-09 15:19:05,餐饮,饮品,支出,19.0,CNY,,,,,,,demonCupid,,,,,2026-05-09,2026-05,2026
qj1778384969303186219,2026-05-10 11:49:25,餐饮,外卖,支出,42.0,CNY,,,,,,,demonCupid,,,,,2026-05-10,2026-05,2026
qj1778409156323121784,2026-05-10 18:32:36,餐饮,外卖,支出,23.0,CNY,,,,,,,demonCupid,,,,,2026-05-10,2026-05,2026
qj1778487544523134063,2026-05-11 16:19:02,餐饮,校园卡,支出,200.0,CNY,,,,,,,demonCupid,,,,,2026-05-11,2026-05,2026
qj1778572209798166522,2026-05-12 15:50:06,餐饮,饮品,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-05-12,2026-05,2026
qj1778663689396187625,2026-05-13 17:14:46,餐饮,外卖,支出,23.0,CNY,,,,,,,demonCupid,,,,,2026-05-13,2026-05,2026
qj1778751965720159433,2026-05-14 17:46:03,餐饮,外卖,支出,40.0,CNY,,,,,,,demonCupid,,,,,2026-05-14,2026-05,2026
qj1778819218734131580,2026-05-15 12:26:54,餐饮,饮品,支出,17.0,CNY,,,,,,,demonCupid,,,,,2026-05-15,2026-05,2026
qj1778912817896198570,2026-05-16 14:26:54,餐饮,饮品,支出,18.0,CNY,,,,,,,demonCupid,,,,,2026-05-16,2026-05,2026
qj1778991914352149806,2026-05-17 12:25:08,餐饮,外卖,支出,24.0,CNY,,,,,,,demonCupid,,,,,2026-05-17,2026-05,2026
qj1779092954908164140,2026-05-18 16:29:07,日常,学习,支出,50.0,CNY,,,deepseek,,,,demonCupid,,,,,2026-05-18,2026-05,2026
qj1779113596230116885,2026-05-18 22:13:16,日常,学习,支出,70.0,CNY,,,,,,,demonCupid,,,,,2026-05-18,2026-05,2026
qj1779127208052100589,2026-05-19 02:00:03,日常,学习,支出,140.0,CNY,,,,,,,demonCupid,,,,,2026-05-19,2026-05,2026
qj1779428475162127511,2026-05-22 13:41:12,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-05-22,2026-05,2026
