ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单,日期,月份,年份
qj1779451370340175786,2026-05-22 20:02:50,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-05-22,2026-05,2026
qj1779469424733194553,2026-05-23 01:03:41,日常,洗澡,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-05-23,2026-05,2026
qj1779513001601190226,2026-05-23 13:10:01,餐饮,聚餐,支出,42.0,CNY,,,,,,,demonCupid,,,,,2026-05-23,2026-05,2026
qj1779535247373121460,2026-05-23 19:20:47,餐饮,外卖,支出,44.0,CNY,,,,,,,demonCupid,,,,,2026-05-23,2026-05,2026
qj1779600684465129986,2026-05-24 13:31:20,餐饮,校园卡,支出,100.0,CNY,,,,,,,demonCupid,,,,,2026-05-24,2026-05,2026
qj1779615906948195685,2026-05-24 17:45:06,餐饮,聚餐,支出,28.0,CNY,,,,,,,demonCupid,,,,,2026-05-24,2026-05,2026
qj1779765651962167832,2026-05-26 11:20:49,餐饮,外卖,支出,26.0,CNY,,,,,,,demonCupid,,,,,2026-05-26,2026-05,2026
qj1779944731524101607,2026-05-28 13:05:24,日常,学习,支出,15.0,CNY,,,打印,,,,demonCupid,,,,,2026-05-28,2026-05,2026
qj1780025538250112016,2026-05-29 11:32:15,餐饮,外卖,支出,27.0,CNY,,,,,,,demonCupid,,,,,2026-05-29,2026-05,2026
qj1780025602383120802,2026-05-29 11:33:22,餐饮,饮品,支出,20.0,CNY,,,,,,,demonCupid,,,,,2026-05-29,2026-05,2026
qj1780115030953162521,2026-05-30 12:23:48,餐饮,聚餐,支出,78.0,CNY,,,,,,,demonCupid,,,,,2026-05-30,2026-05,2026
qj1780143217064147333,2026-05-30 20:13:37,餐饮,外卖,支出,25.0,CNY,,,,,,,demonCupid,,,,,2026-05-30,2026-05,2026
qj1780200289078181293,2026-05-31 12:04:43,餐饮,外卖,支出,26.0,CNY,,,,,,,demonCupid,,,,,2026-05-31,2026-05,2026
qj1780230477184113495,2026-05-31 20:27:57,日常,洗澡,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-05-31,2026-05,2026
qj1780230488758164071,2026-05-31 20:28:08,餐饮,未分类,支出,180.0,CNY,,,生日蛋糕,,,,demonCupid,,,,,2026-05-31,2026-05,2026
