ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单,日期,月份,年份
qj1775089745649102061,2026-02-01 08:28:49,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-02-01,2026-02,2026
qj1775089754060153600,2026-02-01 08:29:14,餐饮,外卖,支出,31.0,CNY,,,,,,,demonCupid,,,,,2026-02-01,2026-02,2026
qj1775089762542169734,2026-02-02 08:29:14,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-02-02,2026-02,2026
qj1775089773670169193,2026-02-03 08:29:23,餐饮,聚餐,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-02-03,2026-02,2026
qj1775089781261146529,2026-02-03 08:29:41,日常,洗澡,支出,12.0,CNY,,,,,,,demonCupid,,,,,2026-02-03,2026-02,2026
qj1775089821173139374,2026-02-05 08:29:51,红包,,收入,200.0,CNY,,,舟哥,,,,demonCupid,,,,,2026-02-05,2026-02,2026
qj1775089851639128000,2026-02-05 08:30:51,日常,交通,支出,219.0,CNY,,,动车票,,,,demonCupid,,,,,2026-02-05,2026-02,2026
qj1775089867958174977,2026-02-06 08:30:52,日常,交通,支出,87.0,CNY,,,动车票,,,,demonCupid,,,,,2026-02-06,2026-02,2026
qj1775089892283182563,2026-02-09 08:31:20,红包,,收入,200.0,CNY,,,婆婆,,,,demonCupid,,,,,2026-02-09,2026-02,2026
qj1775089905129188771,2026-02-10 08:31:33,红包,,收入,100.0,CNY,,,大姨妈,,,,demonCupid,,,,,2026-02-10,2026-02,2026
qj1775089938411168395,2026-02-11 08:32:05,日常,未分类,支出,100.0,CNY,,,,,,,demonCupid,,,,,2026-02-11,2026-02,2026
qj1775089956428102624,2026-02-11 08:32:36,红包,,收入,100.0,CNY,,,舟哥,,,,demonCupid,,,,,2026-02-11,2026-02,2026
qj1775089974112191939,2026-02-12 08:32:47,生活费,,收入,3000.0,CNY,,,生活费,,,,demonCupid,,,,,2026-02-12,2026-02,2026
qj1775090133054167230,2026-02-16 08:35:05,其它,未分类,支出,200.0,CNY,,,differential compensation,,,,demonCupid,,,,,2026-02-16,2026-02,2026
qj1775090018180106412,2026-02-17 08:33:27,红包,,收入,3000.0,CNY,,,压岁钱,,,,demonCupid,,,,,2026-02-17,2026-02,2026
qj1775090033434105546,2026-02-17 08:33:38,红包,,收入,500.0,CNY,,,大姨妈,,,,demonCupid,,,,,2026-02-17,2026-02,2026
qj1775090050939125641,2026-02-17 08:34:10,红包,,收入,500.0,CNY,,,舟哥,,,,demonCupid,,,,,2026-02-17,2026-02,2026
qj1775090104345186268,2026-02-20 08:34:54,日常,娱乐,支出,60.0,CNY,,,,,,,demonCupid,,,,,2026-02-20,2026-02,2026
qj1775090091106152017,2026-02-21 08:34:38,日常,未分类,支出,30.0,CNY,,,,,,,demonCupid,,,,,2026-02-21,2026-02,2026
qj1775090161834126121,2026-02-24 08:35:47,日常,未分类,支出,45.0,CNY,,,干洗,,,,demonCupid,,,,,2026-02-24,2026-02,2026
qj1775090189593177143,2026-02-25 08:36:03,红包,,收入,200.0,CNY,,,四叔爷,,,,demonCupid,,,,,2026-02-25,2026-02,2026
qj1775090200606174337,2026-02-26 08:36:30,日常,交通,支出,20.0,CNY,,,滴滴,,,,demonCupid,,,,,2026-02-26,2026-02,2026
qj1775090220948161037,2026-02-26 08:36:46,日常,交通,支出,651.0,CNY,,,动车票,,,,demonCupid,,,,,2026-02-26,2026-02,2026
qj1775090247676159781,2026-02-26 08:37:27,餐饮,聚餐,支出,70.0,CNY,,,,,,,demonCupid,,,,,2026-02-26,2026-02,2026
qj1775090269705186801,2026-02-27 08:37:39,餐饮,外卖,支出,17.0,CNY,,,,,,,demonCupid,,,,,2026-02-27,2026-02,2026
